Probe Set Name,Stat Pairs,Stat Pairs Used,Avg Diff,Detection,Detection p-value,Stat Common Pairs,Signal Log Ratio,Signal Log Ratio Low,Avg Diff,Change,Change p-value,Positive,Negative,Pairs,Pairs Used,Pairs InAvg,Pos Fraction,Log Avg,Pos/Neg,Avg Diff,Abs Call,Inc,Dec,Inc Ratio,Dec Ratio,Pos Change,Neg Change,Inc/Dec,DPos-DNeg Ratio,Log Avg Ratio Change,Diff Call,Avg Diff Change,B=A,Fold Change,Sort Score
267612_at,11,11,529.4,P,0.001953,11,-2.9,-3.5,529.4,D,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
267613_at,11,11,19.8,A,0.633789,11,-1,-2.3,19.8,NC,0.888286,,,,,,,,,,,,,,,,,,,,,,,,
267614_at,11,11,3.1,A,0.98584,11,-0.3,-0.8,3.1,NC,0.978776,,,,,,,,,,,,,,,,,,,,,,,,
267615_at,11,11,1.9,A,0.870361,11,0.4,0,1.9,NC,0.111714,,,,,,,,,,,,,,,,,,,,,,,,
267616_at,11,11,129.1,P,0.008057,11,-0.8,-2,129.1,NC,0.888286,,,,,,,,,,,,,,,,,,,,,,,,
267617_at,11,11,440.4,P,0.000244,11,-1.7,-2.2,440.4,D,0.999922,,,,,,,,,,,,,,,,,,,,,,,,
267618_at,11,11,15,A,0.870361,11,0.6,-0.5,15,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
267619_at,11,11,173.3,A,0.095215,11,-1.6,-2.1,173.3,D,0.99997,,,,,,,,,,,,,,,,,,,,,,,,
267620_at,11,11,70.7,A,0.303711,11,-0.4,-1.4,70.7,NC,0.416433,,,,,,,,,,,,,,,,,,,,,,,,
267621_at,11,11,63.6,A,0.334473,11,0.1,-0.3,63.6,NC,0.757415,,,,,,,,,,,,,,,,,,,,,,,,
267622_at,11,11,312,P,0.00293,11,-1.4,-1.9,312,D,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
267623_at,11,11,2059.3,P,0.000244,11,3,2.2,2059.3,I,0.00002,,,,,,,,,,,,,,,,,,,,,,,,
267624_at,11,11,6020.2,P,0.000244,11,3.9,3.4,6020.2,I,0.00002,,,,,,,,,,,,,,,,,,,,,,,,
267590_at,11,11,591.7,P,0.008057,11,-2.7,-3.3,591.7,D,0.999911,,,,,,,,,,,,,,,,,,,,,,,,
267591_at,11,11,171.9,P,0.000244,11,0.5,-0.6,171.9,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
267592_at,11,11,103.4,A,0.246094,11,1.6,0.6,103.4,NC,0.026698,,,,,,,,,,,,,,,,,,,,,,,,
267562_at,11,11,178.4,A,0.171387,11,-1.7,-2.3,178.4,D,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
267563_at,11,11,30.4,A,0.111572,11,2.3,0.4,30.4,I,0.000389,,,,,,,,,,,,,,,,,,,,,,,,
267564_at,11,11,392.8,P,0.001953,11,-0.6,-1.1,392.8,NC,0.975245,,,,,,,,,,,,,,,,,,,,,,,,
267565_at,11,11,43.1,A,0.246094,11,3.2,0.9,43.1,NC,0.011045,,,,,,,,,,,,,,,,,,,,,,,,
267566_at,11,11,39.5,A,0.696289,11,3.5,2.7,39.5,NC,0.296089,,,,,,,,,,,,,,,,,,,,,,,,
267567_at,11,11,3.1,A,0.919434,11,-1.3,-2.5,3.1,NC,0.958799,,,,,,,,,,,,,,,,,,,,,,,,
267568_at,11,11,142.2,A,0.366211,11,0.5,-0.5,142.2,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
267569_at,11,11,127.6,P,0.023926,11,-1.2,-1.5,127.6,NC,0.681091,,,,,,,,,,,,,,,,,,,,,,,,
267570_at,11,11,316.3,P,0.00293,11,0.6,0.4,316.3,MI,0.004925,,,,,,,,,,,,,,,,,,,,,,,,
267571_at,11,11,27.3,A,0.398926,11,-0.5,-1.1,27.3,NC,0.952736,,,,,,,,,,,,,,,,,,,,,,,,
267572_at,11,11,54.3,A,0.171387,11,-0.3,-1,54.3,NC,0.875448,,,,,,,,,,,,,,,,,,,,,,,,
267573_at,11,11,112.1,P,0.018555,11,0.1,-0.7,112.1,NC,0.39129,,,,,,,,,,,,,,,,,,,,,,,,
267574_at,11,11,158.2,A,0.129639,11,0.3,-0.4,158.2,NC,0.307406,,,,,,,,,,,,,,,,,,,,,,,,
267575_at,11,11,27.5,A,0.334473,11,-0.5,-1,27.5,NC,0.916174,,,,,,,,,,,,,,,,,,,,,,,,
267576_at,11,11,727.7,P,0.000244,11,3.8,2.9,727.7,I,0.00002,,,,,,,,,,,,,,,,,,,,,,,,
267577_at,11,11,314.5,P,0.000732,11,-1,-1.8,314.5,D,0.999727,,,,,,,,,,,,,,,,,,,,,,,,
267578_at,11,11,87.7,P,0.01416,11,-2.2,-3.4,87.7,D,0.999911,,,,,,,,,,,,,,,,,,,,,,,,
267579_at,11,11,88.6,A,0.466064,11,1,-0.1,88.6,NC,0.194801,,,,,,,,,,,,,,,,,,,,,,,,
267580_at,11,11,116.9,P,0.01416,11,0,-1,116.9,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
267581_at,11,11,963.9,P,0.000244,11,1,0.9,963.9,I,0.00004,,,,,,,,,,,,,,,,,,,,,,,,
267582_at,11,11,73.5,A,0.246094,11,0.5,-0.2,73.5,NC,0.62112,,,,,,,,,,,,,,,,,,,,,,,,
267583_at,11,11,465.2,P,0.000244,11,0.9,0.3,465.2,I,0.00002,,,,,,,,,,,,,,,,,,,,,,,,
267584_at,11,11,24.3,A,0.533936,11,-3.2,-5,24.3,NC,0.403812,,,,,,,,,,,,,,,,,,,,,,,,
267585_s_at,11,11,25.3,A,0.665527,11,-1.3,-2.5,25.3,NC,0.777251,,,,,,,,,,,,,,,,,,,,,,,,
267586_at,11,11,180.9,P,0.018555,11,0.6,0,180.9,NC,0.044149,,,,,,,,,,,,,,,,,,,,,,,,
267587_at,11,11,263.6,P,0.001221,11,0.6,0,263.6,I,0.004073,,,,,,,,,,,,,,,,,,,,,,,,
267588_at,11,11,130.7,A,0.129639,11,1.8,0.9,130.7,I,0.000389,,,,,,,,,,,,,,,,,,,,,,,,
267589_at,11,11,1.2,A,0.904785,11,2,-2.2,1.2,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
267530_at,11,11,113.8,P,0.001953,11,0.6,-0.1,113.8,NC,0.232549,,,,,,,,,,,,,,,,,,,,,,,,
267531_at,11,11,45,A,0.171387,11,-0.1,-0.5,45,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
267532_at,11,11,143.4,P,0.037598,11,-1.6,-2.4,143.4,D,0.999954,,,,,,,,,,,,,,,,,,,,,,,,
267533_at,11,11,236.5,P,0.000244,11,-2.5,-3.4,236.5,D,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
267534_at,11,11,211.6,P,0.00415,11,-1.6,-2.3,211.6,D,0.999977,,,,,,,,,,,,,,,,,,,,,,,,
267535_at,11,11,95.5,A,0.149658,11,-0.9,-1.6,95.5,D,0.995519,,,,,,,,,,,,,,,,,,,,,,,,
267536_at,11,11,331.9,P,0.018555,11,0.4,-0.4,331.9,NC,0.284967,,,,,,,,,,,,,,,,,,,,,,,,
267537_at,11,11,369,P,0.005859,11,-0.8,-1.4,369,D,0.998799,,,,,,,,,,,,,,,,,,,,,,,,
267538_at,11,11,39.3,A,0.665527,11,-1.9,-3.3,39.3,NC,0.966696,,,,,,,,,,,,,,,,,,,,,,,,
267539_at,11,11,705.1,P,0.000732,11,0.3,-0.1,705.1,NC,0.441923,,,,,,,,,,,,,,,,,,,,,,,,
267540_at,11,11,671.5,P,0.000244,11,-0.4,-0.8,671.5,D,0.998664,,,,,,,,,,,,,,,,,,,,,,,,
267541_at,11,11,13.6,A,0.366211,11,-0.9,-2.3,13.6,NC,0.715033,,,,,,,,,,,,,,,,,,,,,,,,
